"ARTIKEL","PLAATS","ARTIKELOMSCHRIJVING","MAAT","VOORRAAD","REFERENTIE","BARCODE"
"              714546","VR-01-13","              714546-VENUS-D  INST/ZW  S3  PUR   ISP","43","10","106430","8715316060397"
"              730548","VR-01-13","              730548-LUKAS-D HG ZW S3 OVN  PU","43","10","106430","8715316044427"
"              918549","VR-01-13","              918549-JACK-D LG BL ESD PU METAL FREE S1P","40","10","106430","8715316145865"
"              114090","VR-01-14","              114090-VITO-D LGZW S3 PRE ESD AGO (FRONTIER 114)","42","10","106430","8715316104763"
"              181548","VR-01-14","              181548-MERULA-D  S3 ON PU  LRS NAT OFFSH BONT","40","5","106430","8715316021930"
"              181548","VR-01-14","              181548-MERULA-D  S3 ON PU  LRS NAT OFFSH BONT","44","5","106430","8715316021978"
"              539848","VR-01-14","              539848-VULCANUS-D  LAS/ZW S3 OVN  PD","45","10","106430","8715316072932"
"              714540","VR-01-14","              714540-VENUS-D INST ZW  S2  PU","40","10","106430","8715316047145"
"              720546","VR-01-14","              720546-ROCKY-D LG GRIJS S3  PUR/PUR","41","10","106430","8715316073731"
"              730848","VR-01-14","              730848-BILLY-D HG ZW S3  OVN PD","41","10","106430","8715316044885"
"              760546","VR-01-14","              760546-RANGER-D HG GRIJS S3 PUR/PUR","44","10","106430","8715316074806"
"              761562","VR-01-14","              761562-RAILWAY-XD","46","10","106430","8715316151668"
"              763566","VR-01-14","              763566-NESTOR-XD HG BR/ZW S3 PUR/PUR","44","10","106430","8715316075322"
"              181548","VR-01-15","              181548-MERULA-D  S3 ON PU  LRS NAT OFFSH BONT","40","5","106430","8715316021930"
"              181548","VR-01-15","              181548-MERULA-D  S3 ON PU  LRS NAT OFFSH BONT","44","5","106430","8715316021978"
"              181548","VR-01-15","              181548-MERULA-D  S3 ON PU  LRS NAT OFFSH BONT","46","5","106430","8715316021992"
"              335568","VR-01-15","              335568-HIMALAYA-XD HG ZW S3 PU/PU OVN ST.PL","43","10","106430","8715316137921"
"              714540","VR-01-15","              714540-VENUS-D INST ZW  S2  PU","40","10","106430","8715316047145"
"              714546","VR-01-15","              714546-VENUS-D  INST/ZW  S3  PUR   ISP","43","10","106430","8715316060397"
"              730548","VR-01-15","              730548-LUKAS-D HG ZW S3 OVN  PU","43","10","106430","8715316044427"
"              730848","VR-01-15","              730848-BILLY-D HG ZW S3  OVN PD","41","10","106430","8715316044885"
"              794560","VR-01-15","              794560-VENUS-XD INST ZW S2  PUR","46","10","106430","8715316072581"
"              939868","VR-01-15","              939868-PRIMUS XD HG ZW/GR S3 OVN PD","43","10","106430","8715316093500"
"              181548","VR-01-16","              181548-MERULA-D  S3 ON PU  LRS NAT OFFSH BONT","40","5","106430","8715316021930"
"              539848","VR-01-16","              539848-VULCANUS-D  LAS/ZW S3 OVN  PD","45","10","106430","8715316072932"
"              706540","VR-01-16","              706540-SPA-D LG GR/BL   S2    PU","42","10","106430","8715316043277"
"              714540","VR-01-16","              714540-VENUS-D INST ZW  S2  PU","45","10","106430","8715316047190"
"              760546","VR-01-16","              760546-RANGER-D HG GRIJS S3 PUR/PUR","44","10","106430","8715316074806"
"              939868","VR-01-16","              939868-PRIMUS XD HG ZW/GR S3 OVN PD","44","10","106430","8715316093517"
"              980549","VR-01-16","              980549-CLAY-D LG ZW  ESD PU/PU S3 METAL FREE","43","10","106430","8715316150210"
"              993549","VR-01-16","              993549-DONOVAN-D HGBR ESD PU/PU S3 METAL FREE","40","10","106430","8715316149887"
"              995549","VR-01-16","              995549-CLYDE-D HG ZW ESD PU/PU S3 METAL FREE","42","10","106430","8715316150500"
"              995549","VR-01-16","              995549-CLYDE-D HG ZW ESD PU/PU S3 METAL FREE","48","10","106430","8715316150562"
"              181548","VR-01-17","              181548-MERULA-D  S3 ON PU  LRS NAT OFFSH BONT","40","5","106430","8715316021930"
"              181548","VR-01-17","              181548-MERULA-D  S3 ON PU  LRS NAT OFFSH BONT","46","5","106430","8715316021992"
"              332546","VR-01-17","              332546-AMAZONE-D HG ZW S3 PU/PU ST.PL","41","10","106430","8715316137006"
"              332546","VR-01-17","              332546-AMAZONE-D HG ZW S3 PU/PU ST.PL","42","10","106430","8715316137013"
"              335568","VR-01-17","              335568-HIMALAYA-XD HG ZW S3 PU/PU OVN ST.PL","43","10","106430","8715316137921"
"              730548","VR-01-17","              730548-LUKAS-D HG ZW S3 OVN  PU","43","10","106430","8715316044427"
"              730848","VR-01-17","              730848-BILLY-D HG ZW S3  OVN PD","41","10","106430","8715316044885"
"              760546","VR-01-17","              760546-RANGER-D HG GRIJS S3 PUR/PUR","43","10","106430","8715316074790"
"              794566","VR-01-17","              794566-VENUS-XD INS ZW S3  PUR  ISP","44","10","106430","8715316075803"
"              939868","VR-01-17","              939868-PRIMUS XD HG ZW/GR S3 OVN PD","43","10","106430","8715316093500"
"              181548","VR-01-18","              181548-MERULA-D  S3 ON PU  LRS NAT OFFSH BONT","40","5","106430","8715316021930"
"              332546","VR-01-18","              332546-AMAZONE-D HG ZW S3 PU/PU ST.PL","42","10","106430","8715316137013"
"              714540","VR-01-18","              714540-VENUS-D INST ZW  S2  PU","40","10","106430","8715316047145"
"              714540","VR-01-18","              714540-VENUS-D INST ZW  S2  PU","45","10","106430","8715316047190"
"              730548","VR-01-18","              730548-LUKAS-D HG ZW S3 OVN  PU","46","10","106430","8715316044458"
"              731568","VR-01-18","              731568-LUKAS-XD HG ZW S3 OVN  PU","43","10","106430","8715316044540"
"              736540","VR-01-18","              736540-SILVERSTONE-D HG GR/BL  S2  PU","43","10","106430","8715316045400"
"              794560","VR-01-18","              794560-VENUS-XD INST ZW S2  PUR","46","10","106430","8715316072581"
"              794566","VR-01-18","              794566-VENUS-XD INS ZW S3  PUR  ISP","44","10","106430","8715316075803"
"              995549","VR-01-18","              995549-CLYDE-D HG ZW ESD PU/PU S3 METAL FREE","48","10","106430","8715316150562"
"              181548","VR-01-19","              181548-MERULA-D  S3 ON PU  LRS NAT OFFSH BONT","44","5","106430","8715316021978"
"              332546","VR-01-19","              332546-AMAZONE-D HG ZW S3 PU/PU ST.PL","41","10","106430","8715316137006"
"              534863","VR-01-19","              534863-MACK M XD HG/ZW  S3 OVN PD WK","42","10","106430","8715316091612"
"              706540","VR-01-19","              706540-SPA-D LG GR/BL   S2    PU","42","10","106430","8715316043277"
"              730548","VR-01-19","              730548-LUKAS-D HG ZW S3 OVN  PU","43","10","106430","8715316044427"
"              760546","VR-01-19","              760546-RANGER-D HG GRIJS S3 PUR/PUR","43","10","106430","8715316074790"
"              760546","VR-01-19","              760546-RANGER-D HG GRIJS S3 PUR/PUR","44","10","106430","8715316074806"
"              939868","VR-01-19","              939868-PRIMUS XD HG ZW/GR S3 OVN PD","43","10","106430","8715316093500"
"              939868","VR-01-19","              939868-PRIMUS XD HG ZW/GR S3 OVN PD","44","10","106430","8715316093517"
"              995549","VR-01-19","              995549-CLYDE-D HG ZW ESD PU/PU S3 METAL FREE","44","10","106430","8715316150524"
"              181548","VR-01-20","              181548-MERULA-D  S3 ON PU  LRS NAT OFFSH BONT","44","5","106430","8715316021978"
"              706540","VR-01-20","              706540-SPA-D LG GR/BL   S2    PU","42","10","106430","8715316043277"
"              714546","VR-01-20","              714546-VENUS-D  INST/ZW  S3  PUR   ISP","45","10","106430","8715316060410"
"              731568","VR-01-20","              731568-LUKAS-XD HG ZW S3 OVN  PU","43","10","106430","8715316044540"
"              736540","VR-01-20","              736540-SILVERSTONE-D HG GR/BL  S2  PU","43","10","106430","8715316045400"
"              794560","VR-01-20","              794560-VENUS-XD INST ZW S2  PUR","46","10","106430","8715316072581"
"              794566","VR-01-20","              794566-VENUS-XD INS ZW S3  PUR  ISP","40","10","106430","8715316075766"
"              794566","VR-01-20","              794566-VENUS-XD INS ZW S3  PUR  ISP","44","10","106430","8715316075803"
